,EqualWeight,InverseVol,MinVariance,MaxSharpe,RiskParity,HRP,Momentum,BlackLitterman,MeanCVaR,TO_MVO
SF,0.4063048845472794,0.3612653657086656,0.35151948214945816,0.4352945351191413,0.3783763049016118,0.342384211919135,0.4951192713235824,0.46634588247897085,0.2579934519542132,0.41943762079041763
All6EW,0.4072165856158115,0.38891710841716587,0.32146106378930245,0.4276153775008375,0.39599070729540137,0.4209784880353581,0.503436490900262,0.5190300938027796,0.2480980412261019,0.5142859330045088
All6ICwt,0.4636111293085743,0.4440450345800602,0.3905368058671561,0.3921849791560349,0.45722343676652843,0.4502266003658578,0.49264613799602697,0.4184740803251311,0.3136710869995319,0.43509563231893866
Top3EW,0.38129734886340855,0.37527223188772996,0.3711598159613308,0.37046375198940823,0.3836009675331137,0.34432605658577287,0.4309928660836513,0.3524875561486814,0.3213650753253063,0.2774140174891727
Top3ICwt,0.4551191680300219,0.4430844442276778,0.4324470120421664,0.3312027984625444,0.45201141645183224,0.4206355196882869,0.500654079398145,0.37687628113310173,0.22085041027501084,0.28830157155879266
Corr03EW,0.34172337815571685,0.31126160791685065,0.2549047969435861,0.2827860847320036,0.3255777662667398,0.333286907420393,0.3888432032372884,0.3004347476449443,0.2508935403657909,0.3440891229902898
Corr03ICwt,0.4198910641437811,0.40973270693609065,0.3782862432864848,0.2801758324986915,0.41151734338048496,0.4245455873693444,0.43494229093797265,0.3538635761286358,0.2670114708327162,0.3314779123347755
Corr05EW,0.4268643502155603,0.4102945775584799,0.32525731323776114,0.4141476510636726,0.42014733051100006,0.3979303182816578,0.5464376040865264,0.4808571192305647,0.28789995746155633,0.4427362791497582
