Strategy,Ann. Mean,Ann. Std,Sharpe,Max DD,Calmar,% Positive,Total Return,N Months
MSCI EM,0.02966203417974582,0.16518937988333213,0.17956380852507073,0.38369870877264395,0.0773055355714572,0.5597014925373134,0.19667282414871856,134
EqualWeight,0.07522173982347918,0.16713044923958364,0.45007800891893646,0.3106323652383805,0.24215680090435432,0.5373134328358209,0.9852338430265204,134
InverseVol,0.0677824432528861,0.15763485035472385,0.4299965591387695,0.3064972042058494,0.22115191369694226,0.5447761194029851,0.8561927156532263,134
MinVariance,0.061185140155139414,0.1555744989130772,0.3932851500895713,0.30110266648826084,0.2032035812526584,0.5298507462686567,0.729534810646864,134
MaxSharpe,0.06875224606023,0.15933894807284196,0.43148424720866013,0.34141555173921784,0.20137409004949128,0.5522388059701493,0.8692094516149691,134
RiskParity,0.07296637345649848,0.16237564469790214,0.4493677213245343,0.30841409680796605,0.2365857274738352,0.5298507462686567,0.9514094886872075,134
HRP,0.07126763085324472,0.16017991310328408,0.4449223967757513,0.3190279298973254,0.22338994230436562,0.5223880597014925,0.9216176287058706,134
